index,dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts/s,flow_pkts/s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts/s,bwd_pkts/s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down/up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts/b_avg,fwd_pkts/b_avg,fwd_blk_rate_avg,bwd_byts/b_avg,bwd_pkts/b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
2941,443,6,198,3,0,77,0,46,0,25.66666667,23.45918441,0,0,0.0,0.0,388888.8889,15151.51515,99.0,121.6223664,185,13,198,99.0,121.6223664,185,13,0,0.0,0.0,0,0,1,0,0,0,60,0,15151.51515,0.0,0,46,30.75,21.68524844,470.25,0,1,0,0,1,0,0,0,0,41.0,25.66666667,0.0,0,0,0,0,0,0,3,77,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
2942,443,6,223,3,0,77,0,46,0,25.66666667,23.45918441,0,0,0.0,0.0,345291.4798,13452.9148,111.5,130.8147545,204,19,223,111.5,130.8147545,204,19,0,0.0,0.0,0,0,1,0,0,0,60,0,13452.9148,0.0,0,46,30.75,21.68524844,470.25,0,1,0,0,1,0,0,0,0,41.0,25.66666667,0.0,0,0,0,0,0,0,3,77,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
2943,443,6,587,3,0,77,0,46,0,25.66666667,23.45918441,0,0,0.0,0.0,131175.4685,5110.732538,293.5,395.2726907,573,14,587,293.5,395.2726907,573,14,0,0.0,0.0,0,0,1,0,0,0,60,0,5110.732538,0.0,0,46,30.75,21.68524844,470.25,0,1,0,0,1,0,0,0,0,41.0,25.66666667,0.0,0,0,0,0,0,0,3,77,0,0,258,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
2944,443,6,763,3,0,77,0,46,0,25.66666667,23.45918441,0,0,0.0,0.0,100917.4312,3931.847969,381.5,526.794552,754,9,763,381.5,526.794552,754,9,0,0.0,0.0,0,0,1,0,0,0,60,0,3931.847969,0.0,0,46,30.75,21.68524844,470.25,0,1,0,0,1,0,0,0,0,41.0,25.66666667,0.0,0,0,0,0,0,0,3,77,0,0,254,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
2945,443,6,852,3,0,77,0,46,0,25.66666667,23.45918441,0,0,0.0,0.0,90375.58685,3521.126761,426.0,589.7270555,843,9,852,426.0,589.7270555,843,9,0,0.0,0.0,0,0,1,0,0,0,60,0,3521.126761,0.0,0,46,30.75,21.68524844,470.25,0,1,0,0,1,0,0,0,0,41.0,25.66666667,0.0,0,0,0,0,0,0,3,77,0,0,258,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
2946,52355,6,1,3,0,77,0,46,0,25.66666667,23.45918441,0,0,0.0,0.0,77000000.0,3000000.0,0.5,0.707106781,1,0,1,0.5,0.707106781,1,0,0,0.0,0.0,0,0,1,0,0,0,60,0,3000000.0,0.0,0,46,30.75,21.68524844,470.25,0,1,0,0,1,0,0,0,0,41.0,25.66666667,0.0,0,0,0,0,0,0,3,77,0,0,123,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
2947,443,6,232,3,0,77,0,46,0,25.66666667,23.45918441,0,0,0.0,0.0,331896.5517,12931.03448,116.0,141.4213562,216,16,232,116.0,141.4213562,216,16,0,0.0,0.0,0,0,1,0,0,0,60,0,12931.03448,0.0,0,46,30.75,21.68524844,470.25,0,1,0,0,1,0,0,0,0,41.0,25.66666667,0.0,0,0,0,0,0,0,3,77,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
2948,443,6,232,3,0,77,0,46,0,25.66666667,23.45918441,0,0,0.0,0.0,331896.5517,12931.03448,116.0,140.0071427,215,17,232,116.0,140.0071427,215,17,0,0.0,0.0,0,0,1,0,0,0,60,0,12931.03448,0.0,0,46,30.75,21.68524844,470.25,0,1,0,0,1,0,0,0,0,41.0,25.66666667,0.0,0,0,0,0,0,0,3,77,0,0,254,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
2949,443,6,496,3,0,77,0,46,0,25.66666667,23.45918441,0,0,0.0,0.0,155241.9355,6048.387097,248.0,330.9259736,482,14,496,248.0,330.9259736,482,14,0,0.0,0.0,0,0,1,0,0,0,60,0,6048.387097,0.0,0,46,30.75,21.68524844,470.25,0,1,0,0,1,0,0,0,0,41.0,25.66666667,0.0,0,0,0,0,0,0,3,77,0,0,258,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
2950,443,6,598,3,0,77,0,46,0,25.66666667,23.45918441,0,0,0.0,0.0,128762.5418,5016.722408,299.0,401.6366517,583,15,598,299.0,401.6366517,583,15,0,0.0,0.0,0,0,1,0,0,0,60,0,5016.722408,0.0,0,46,30.75,21.68524844,470.25,0,1,0,0,1,0,0,0,0,41.0,25.66666667,0.0,0,0,0,0,0,0,3,77,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
